+-------------------------------------------------------------------------------------+--------------------------------------+------------------------------------+--------+------------------+
|                                       MODULE                                        |               VERSION                |            NEW VERSION             | DIRECT | VALID TIMESTAMPS |
| github.com/envoyproxy/go-control-plane/ratelimit                                    | v0.1.0                               |                                    | false  | true             |
| github.com/envoyproxy/protoc-gen-validate                                           | v1.3.3                               |                                    | false  | true             |
| github.com/ettle/strcase                                                            | v0.2.0                               |                                    | false  | true             |
| github.com/failsafe-go/failsafe-go                                                  | v0.9.6                               |                                    | true   | true             |
| github.com/fatih/color                                                              | v1.19.0                              |                                    | false  | true             |
| github.com/fatih/structs                                                            | v1.1.0                               |                                    | true   | true             |
| github.com/fatih/structtag                                                          | v1.2.0                               |                                    | false  | true             |
| github.com/felixge/httpsnoop                                                        | v1.1.0                               |                                    | false  | true             |
| github.com/firefart/nonamedreturns                                                  | v1.0.6                               | v1.0.8                             | false  | true             |
| github.com/fsnotify/fsnotify                                                        | v1.5.4                               | v1.10.1                            | false  | true             |
| github.com/fujiwara/shapeio                                                         | v1.1.0                               |                                    | true   | true             |
| github.com/fullstorydev/emulators/storage                                           | v1.0.0                               |                                    | false  | true             |
| github.com/fxamacker/cbor/v2                                                        | v2.9.2                               |                                    | true   | true             |
| github.com/fzipp/gocyclo                                                            | v0.6.0                               |                                    | false  | true             |
| github.com/getsentry/sentry-go                                                      | v0.48.0                              |                                    | false  | true             |
| github.com/ghemawat/stream                                                          | v0.0.0-20171120220530-696b145b53b9   |                                    | false  | true             |
| github.com/ghostiam/protogetter                                                     | v0.3.20                              | v0.3.21                            | false  | true             |
| github.com/go-critic/go-critic                                                      | v0.14.3                              | v0.14.4                            | false  | true             |
| github.com/go-errors/errors                                                         | v1.5.1                               |                                    | false  | true             |
| github.com/go-ini/ini                                                               | v1.67.0                              | v1.67.3                            | false  | true             |
| github.com/go-jose/go-jose/v4                                                       | v4.1.4                               |                                    | false  | true             |
| github.com/go-kit/log                                                               | v0.2.1                               |                                    | true   | true             |
| github.com/go-logfmt/logfmt                                                         | v0.6.1                               |                                    | false  | true             |
| github.com/go-logr/logr                                                             | v1.4.4                               |                                    | false  | true             |
| github.com/go-logr/stdr                                                             | v1.2.2                               |                                    | false  | true             |
| github.com/go-resty/resty/v2                                                        | v2.17.2                              |                                    | true   | true             |
| github.com/go-toolsmith/astcast                                                     | v1.1.0                               |                                    | false  | true             |
| github.com/go-toolsmith/astcopy                                                     | v1.1.0                               |                                    | false  | true             |
| github.com/go-toolsmith/astequal                                                    | v1.2.0                               |                                    | false  | true             |
| github.com/go-toolsmith/astfmt                                                      | v1.1.0                               |                                    | false  | true             |
| github.com/go-toolsmith/astp                                                        | v1.1.0                               |                                    | false  | true             |
| github.com/go-toolsmith/strparse                                                    | v1.1.0                               |                                    | false  | true             |
| github.com/go-toolsmith/typep                                                       | v1.1.0                               |                                    | false  | true             |
| github.com/go-viper/mapstructure/v2                                                 | v2.5.0                               |                                    | false  | true             |
| github.com/go-xmlfmt/xmlfmt                                                         | v1.1.3                               |                                    | false  | true             |
| github.com/gobwas/glob                                                              | v0.2.3                               |                                    | false  | true             |
| github.com/goccy/go-json                                                            | v0.10.5                              | v0.10.6                            | false  | true             |
| github.com/godoc-lint/godoc-lint                                                    | v0.11.2                              |                                    | false  | true             |
| github.com/gofrs/flock                                                              | v0.13.0                              |                                    | false  | true             |
| github.com/gogo/googleapis                                                          | v1.4.1                               |                                    | false  | true             |
